Date,Package,Title
10/25/22,webfakes,Fake Web Apps for HTTP Testing
10/25/22,worrrd,Generate Wordsearch and Crossword Puzzles
10/24/22,AlphaHull3D,Alpha Hull Computation
10/24/22,brassica,1970s BASIC Interpreter
10/24/22,btb,Beyond the Border - Kernel Density Estimation for Urban Geography
10/24/22,canvasXpress,Visualization Package for CanvasXpress in R
10/24/22,caretForecast,Conformal Time Series Forecasting Using State of Art Machine Learning Algorithms
10/24/22,cgmanalysis,Clean and Analyze Continuous Glucose Monitor Data
10/24/22,clinUtils,General Utility Functions for Analysis of Clinical Data
10/24/22,datefixR,Standardize Dates in Different Formats or with Missing Data
10/24/22,e1071,"Misc Functions of the Department of Statistics, Probability Theory Group (Formerly: E1071), TU Wien"
10/24/22,foghorn,Summarize CRAN Check Results in the Terminal
10/24/22,ggdensity,Interpretable Bivariate Density Visualization with 'ggplot2'
10/24/22,GLDEX,Fitting Single and Mixture of Generalised Lambda Distributions
10/24/22,GPvecchia,Scalable Gaussian-Process Approximations
10/24/22,hlaR,Tools for HLA Data
10/24/22,hydrotoolbox,Hydrological Tools for Handling Hydro-Meteorological Data Records
10/24/22,inlabru,Bayesian Latent Gaussian Modelling using INLA and Extensions
10/24/22,kst,Knowledge Space Theory
10/24/22,kstMatrix,Basic Functions in Knowledge Space Theory Using Matrix Representation
10/24/22,LexisNexisTools,Working with Files from 'LexisNexis'
10/24/22,lmeInfo,Information Matrices for 'lmeStruct' and 'glsStruct' Objects
10/24/22,MixSim,Simulating Data to Study Performance of Clustering Algorithms
10/24/22,mlr3tuningspaces,Search Spaces for Hyperparameter Tuning
10/24/22,nanotime,Nanosecond-Resolution Time Support for R
10/24/22,openxlsx,"Read, Write and Edit xlsx Files"
10/24/22,origin,Explicitly Qualifying Namespaces by Automatically Adding 'pkg::' to Functions
10/24/22,pcaPP,Robust PCA by Projection Pursuit
10/24/22,pcts,Periodically Correlated and Periodically Integrated Time Series
10/24/22,penppml,Penalized Poisson Pseudo Maximum Likelihood Regression
10/24/22,PesticideLoadIndicator,Computes Danish Pesticide Load Indicator
10/24/22,picR,Predictive Information Criteria for Model Selection
10/24/22,PlatformDesign,Optimal Two-Period Multiarm Platform Design with New Experimental Arms Added During the Trial
10/24/22,ragg,Graphic Devices Based on AGG
10/24/22,Recocrop,Estimating Environmental Suitability for Plants
10/24/22,RPANDA,Phylogenetic ANalyses of DiversificAtion
10/24/22,rrcov,Scalable Robust Estimators with High Breakdown Point
10/24/22,rsconnect,Deployment Interface for R Markdown Documents and Shiny Applications
10/24/22,rsurveycto,Interact with Data on 'SurveyCTO'
10/24/22,spc,Statistical Process Control – Calculation of ARL and Other Control Chart Performance Measures
10/24/22,tclust,Robust Trimmed Clustering
10/24/22,timereg,Flexible Regression Models for Survival Data
10/24/22,torch,Tensors and Neural Networks with 'GPU' Acceleration
10/23/22,castor,Efficient Phylogenetics on Large Trees
10/23/22,geofi,Access Finnish Geospatial Data
10/23/22,GeoModels,Procedures for Gaussian and Non Gaussian Geostatistical (Large) Data Analysis
10/23/22,ggeffects,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs
10/23/22,gld,Estimation and Use of the Generalised (Tukey) Lambda Distribution
10/23/22,grafify,Easy Graphs for Data Visualisation and Linear Models for ANOVA
10/23/22,GUniFrac,"Generalized UniFrac Distances, Distance-Based Multivariate Methods and Feature-Based Univariate Methods for Microbiome Data Analysis"
10/23/22,insight,Easy Access to Model Information for Various Model Objects
10/23/22,inverseRegex,Reverse Engineers Regular Expression Patterns for R Objects
10/23/22,irace,Iterated Racing for Automatic Algorithm Configuration
10/23/22,laGP,Local Approximate Gaussian Process Regression
10/23/22,mcr,Method Comparison Regression
10/23/22,nestedcv,Nested Cross-Validation with 'glmnet' and 'caret'
10/23/22,neurobase,'Neuroconductor' Base Package with Helper Functions for 'nifti' Objects
10/23/22,nlmixr2,Nonlinear Mixed Effects Models in Population PK/PD
10/23/22,r2resize,"In-Text Resizing for Containers, Images and Data Tables in 'Shiny', 'Markdown' and 'Quarto' Documents"
10/23/22,r2symbols,Symbols for 'Markdown' and 'Shiny' Application
10/23/22,rayimage,Image Processing for Simulated Cameras
10/23/22,RDieHarder,R Interface to the 'DieHarder' RNG Test Suite
10/23/22,sketch,Interactive Sketches
10/23/22,symengine,Interface to the 'SymEngine' Library
10/23/22,tipmap,Tipping Point Analysis for Bayesian Dynamic Borrowing
10/23/22,waywiser,Methods for Assessing Spatial Models
10/22/22,BiasedUrn,Biased Urn Model Distributions
10/22/22,bpr,Fitting Bayesian Poisson Regression
10/22/22,cld3,Google's Compact Language Detector 3
10/22/22,CRE,Interpretable Subgroups Identification Through Ensemble Learning of Causal Rules
10/22/22,cricketdata,International Cricket Data
10/22/22,CSIndicators,Climate Services' Indicators Based on Sub-Seasonal to Decadal Predictions
10/22/22,D4TAlink.light,FAIR Data - Workflow Management
10/22/22,DataGraph,Export Data from R so 'DataGraph' can Read it
10/22/22,datawizard,Easy Data Wrangling and Statistical Transformations
10/22/22,DescTools,Tools for Descriptive Statistics
10/22/22,deSolve,"Solvers for Initial Value Problems of Differential Equations ('ODE', 'DAE', 'DDE')"
10/22/22,dipsaus,A Dipping Sauce for Data Analysis and Visualizations
10/22/22,eimpute,Efficiently Impute Large Scale Incomplete Matrix
10/22/22,gdpc,Generalized Dynamic Principal Components
10/22/22,geos,Open Source Geometry Engine ('GEOS') R API
10/22/22,GPArotation,GPA Factor Rotation
10/22/22,HTLR,Bayesian Logistic Regression with Heavy-Tailed Priors
10/22/22,jetpack,A Friendly Package Manager
10/22/22,MixviR,Analysis and Exploration of Mixed Microbial Genomic Samples
10/22/22,mosum,Moving Sum Based Procedures for Changes in the Mean
10/22/22,nlmixr2est,"Nonlinear Mixed Effects Models in Population PK/PD, Estimation Routines"
10/22/22,nlmixr2extra,"Nonlinear Mixed Effects Models in Population PK/PD, Extra Support Functions"
10/22/22,rrcov3way,"Robust Methods for Multiway Data Analysis, Applicable also for Compositional Data"
10/22/22,styler,Non-Invasive Pretty Printing of R Code
10/22/22,vctrs,Vector Helpers
10/21/22,adehabitatHR,Home Range Estimation
10/21/22,adehabitatHS,Analysis of Habitat Selection by Animals
10/21/22,adehabitatLT,Analysis of Animal Movements
10/21/22,adehabitatMA,Tools to Deal with Raster Maps
10/21/22,arules,Mining Association Rules and Frequent Itemsets
10/21/22,bakeoff,"Data from ""The Great British Bake Off"""
10/21/22,bigsnpr,Analysis of Massive SNP Arrays
10/21/22,ChemoSpec,Exploratory Chemometrics for Spectroscopy
10/21/22,combinIT,A Combined Interaction Test for Unreplicated Two-Way Tables
10/21/22,crossurr,Cross-Fitting for Doubly Robust Evaluation of High-Dimensional Surrogate Markers
10/21/22,csodata,Download Data from the CSO 'PxStat' API
10/21/22,dvir,Disaster Victim Identification
10/21/22,econetwork,Analyzing Ecological Networks
10/21/22,enviPat,"Isotope Pattern, Profile and Centroid Calculation for Mass Spectrometry"
10/21/22,exams2learnr,Interface for 'exams' Exercises in 'learnr' Tutorials
10/21/22,fasstr,"Analyze, Summarize, and Visualize Daily Streamflow Data"
10/21/22,gap,Genetic Analysis Package
10/21/22,ggpie,"Pie, Donut and Rose Pie Plots"
10/21/22,HomomorphicEncryption,"BFV, BGV, CKKS Schema for Fully Homomorphic Encryption"
10/21/22,jagshelper,Extracting and Visualizing Output from 'jagsUI'
10/21/22,JATSdecoder,A Metadata and Text Extraction and Manipulation Tool Set
10/21/22,jsonlite,A Simple and Robust JSON Parser and Generator for R
10/21/22,jsTreeR,A Wrapper of the JavaScript Library 'jsTree'
10/21/22,lazy,Lazy Learning for Local Regression
10/21/22,LTASR,Functions to Replicate the Center for Disease Control and Prevention's 'LTAS' Software in R
10/21/22,maptools,Tools for Handling Spatial Objects
10/21/22,mgcv,Mixed GAM Computation Vehicle with Automatic Smoothness Estimation
10/21/22,mlr3tuning,Tuning for 'mlr3'
10/21/22,MultNonParam,Multivariate Nonparametric Methods
10/21/22,NestMRMC,Single Reader Between-Cases AUC Estimator in Nested Data
10/21/22,norgeo,Tracking Geo Code Change of Regional Granularity in Norway
10/21/22,PearsonDS,Pearson Distribution System
10/21/22,PolycrossDesigns,"Polycross Designs (""PolycrossDesigns"")"
10/21/22,REndo,Fitting Linear Models with Endogenous Regressors using Latent Instrumental Variables
10/21/22,rpart,Recursive Partitioning and Regression Trees
10/21/22,Rwave,Time-Frequency Analysis of 1-D Signals
10/21/22,saeMSPE,Compute MSPE Estimates for the Fay Herriot Model and Nested Error Regression Model
10/21/22,seriation,Infrastructure for Ordering Objects Using Seriation
10/21/22,ShapleyOutlier,Multivariate Outlier Explanations using Shapley Values and Mahalanobis Distances
10/21/22,ShinyItemAnalysis,Test and Item Analysis via Shiny
10/21/22,shinySelect,A Wrapper of the 'react-select' Library
10/21/22,spate,Spatio-Temporal Modeling of Large Data Using a Spectral SPDE Approach
10/21/22,spatstat.data,Datasets for 'spatstat' Family
10/21/22,spatstat.sparse,Sparse Three-Dimensional Arrays and Linear Algebra Utilities
10/21/22,TFMPvalue,Efficient and Accurate P-Value Computation for Position Weight Matrices
10/21/22,tiledb,Universal Storage Engine for Sparse and Dense Multidimensional Arrays
10/21/22,TKCat,Tailored Knowledge Catalog
10/21/22,wru,"Who are You? Bayesian Prediction of Racial Category Using Surname, First Name, Middle Name, and Geolocation"
10/21/22,XLConnect,Excel Connector for R
10/20/22,and,Construct Natural-Language Lists with Internationalization
10/20/22,aoristic,Generates Aoristic Probability Distributions
10/20/22,bama,High Dimensional Bayesian Mediation Analysis
10/20/22,BayesReversePLLH,Fits the Bayesian Piecewise Linear Log-Hazard Model
10/20/22,blockForest,Block Forests: Random Forests for Blocks of Clinical and Omics Covariate Data
10/20/22,bnstruct,Bayesian Network Structure Learning from Data with Missing Values
10/20/22,buildmer,Stepwise Elimination and Term Reordering for Mixed-Effects Regression
10/20/22,changepoint.np,Methods for Nonparametric Changepoint Detection
10/20/22,clockify,A Wrapper for the 'Clockify' API
10/20/22,CompModels,Pseudo Computer Models for Optimization
10/20/22,ds4psy,Data Science for Psychologists
10/20/22,fBasics,Rmetrics - Markets and Basic Statistics
10/20/22,graphlayouts,Additional Layout Algorithms for Network Visualizations
10/20/22,graphPAF,Estimating and Displaying Population Attributable Fractions
10/20/22,highOrderPortfolios,Design of High-Order Portfolios Including Skewness and Kurtosis
10/20/22,imagine,"IMAGing engINEs, Tools for Application of Image Filters to Data Matrices"
10/20/22,InteractionPoweR,Power Analyses for Interaction Effects in Cross-Sectional Regressions
10/20/22,ktweedie,'Tweedie' Compound Poisson Model in the Reproducing Kernel Hilbert Space
10/20/22,LassoBacktracking,Modelling Interactions in High-Dimensional Data with Backtracking
10/20/22,lpSolveAPI,R Interface to 'lp_solve' Version 5.5.2.0
10/20/22,mcompanion,Objects and Methods for Multi-Companion Matrices
10/20/22,mlr3spatial,Support for Spatial Objects Within the 'mlr3' Ecosystem
10/20/22,modelsummary,"Summary Tables and Plots for Statistical Models and Data: Beautiful, Customizable, and Publication-Ready"
10/20/22,MPV,"Data Sets from Montgomery, Peck and Vining"
10/20/22,msgps,"Degrees of Freedom of Elastic Net, Adaptive Lasso and Generalized Elastic Net"
10/20/22,mtb,My Toolbox for Assisting Document Editing and Data Presenting
10/20/22,nlmixr2plot,"Nonlinear Mixed Effects Models in Population PK/PD, Plot Functions"
10/20/22,NMOF,Numerical Methods and Optimization in Finance
10/20/22,openairmaps,Create Interactive Web Maps of Air Pollution Data
10/20/22,ordr,A 'tidyverse' Extension for Ordinations and Biplots
10/20/22,osrm,Interface Between R and the OpenStreetMap-Based Routing Service OSRM
10/20/22,overlapping,Estimation of Overlapping in Empirical Distributions
10/20/22,polyclip,Polygon Clipping
10/20/22,polypoly,Helper Functions for Orthogonal Polynomials
10/20/22,pqrfe,Penalized Quantile Regression with Fixed Effects
10/20/22,RColetum,Access your Coletum's Data from API
10/20/22,rdhs,API Client and Dataset Management for the Demographic and Health Survey (DHS) Data
10/20/22,RfEmpImp,Multiple Imputation using Chained Random Forests
10/20/22,rmumps,Wrapper for MUMPS Library
10/20/22,rscorecard,A Method to Download Department of Education College Scorecard Data
10/20/22,rxode2,Facilities for Simulating from ODE-Based Models
10/20/22,seeker,Simplified Fetching and Processing of Microarray and RNA-Seq Data
10/20/22,sigminer,"Extract, Analyze and Visualize Mutational Signatures for Genomic Variations"
10/20/22,spaMM,"Mixed-Effect Models, with or without Spatial Random Effects"
10/20/22,spmodel,Spatial Statistical Modeling and Prediction
10/20/22,strex,Extra String Manipulation Functions
10/20/22,stringdist,"Approximate String Matching, Fuzzy Text Search, and String Distance Functions"
10/20/22,tuneR,Analysis of Music and Speech
10/20/22,vegawidget,'Htmlwidget' for 'Vega' and 'Vega-Lite'
10/20/22,winch,Portable Native and Joint Stack Traces
10/19/22,adephylo,Exploratory Analyses for the Phylogenetic Comparative Method
10/19/22,adespatial,Multivariate Multiscale Spatial Analysis
10/19/22,ads,Spatial Point Patterns Analysis
10/19/22,AgroReg,Regression Analysis Linear and Nonlinear for Agriculture
10/19/22,ast2ast,Translates an R Function to a C++ Function
10/19/22,asteRisk,Computation of Satellite Position
10/19/22,ASV,Stochastic Volatility Models with or without Leverage
10/19/22,autoRasch,Semi-Automated Rasch Analysis
10/19/22,baffle,Make Waffle Plots with Base Graphics
10/19/22,BAS,Bayesian Variable Selection and Model Averaging using Bayesian Adaptive Sampling
10/19/22,Brobdingnag,Very Large Numbers in R
10/19/22,campaignmanageR,Connect to Campaign Manager via the 'Windsor.ai' API
10/19/22,car,Companion to Applied Regression
10/19/22,collections,High Performance Container Data Types
10/19/22,covidmx,Descarga y analiza datos de COVID-19 en México
10/19/22,crypto2,Download Crypto Currency Data from 'CoinMarketCap' without 'API'
10/19/22,delaunay,"2d, 2.5d, and 3d Delaunay Tessellations"
10/19/22,delayed,A Framework for Parallelizing Dependent Tasks
10/19/22,diemr,Diagnostic Index Expectation Maximisation in R
10/19/22,DT,A Wrapper of the JavaScript Library 'DataTables'
10/19/22,dynaTree,Dynamic Trees for Learning and Design
10/19/22,ffsimulator,Simulate Fantasy Football Seasons
10/19/22,fixest,Fast Fixed-Effects Estimations
10/19/22,forestploter,Create Flexible Forest Plot
10/19/22,geodist,"Fast, Dependency-Free Geodesic Distance Calculations"
10/19/22,gstat,"Spatial and Spatio-Temporal Geostatistical Modelling, Prediction and Simulation"
10/19/22,gstsm,Generalized Spatial-Time Sequence Miner
10/19/22,HelpersMG,"Tools for Environmental Analyses, Ecotoxicology and Various R Functions"
10/19/22,heplots,Visualizing Hypothesis Tests in Multivariate Linear Models
10/19/22,iglu,Interpreting Glucose Data from Continuous Glucose Monitors
10/19/22,ISEtools,Ion Selective Electrodes Analysis Methods
10/19/22,L1pack,Routines for L1 Estimation
10/19/22,learnr,Interactive Tutorials for R
10/19/22,lintr,A 'Linter' for R Code
10/19/22,LSX,Semisupervised Document Scaling with Word-Embedding Models
10/19/22,markdown,Render Markdown with the C Library 'Sundown'
10/19/22,MHCtools,Analysis of MHC Data in Non-Model Species
10/19/22,minqa,Derivative-Free Optimization Algorithms by Quadratic Approximation
10/19/22,mirai,Minimalist Async Evaluation Framework for R
10/19/22,monomvn,Estimation for MVN and Student-t Data with Monotone Missingness
10/19/22,move,Visualizing and Analyzing Animal Track Data
10/19/22,MSEtool,Management Strategy Evaluation Toolkit
10/19/22,MSTest,Hypothesis Testing for Markov Switching Models
10/19/22,networkABC,Network Reverse Engineering with Approximate Bayesian Computation
10/19/22,ontologics,Code-Logics to Handle Ontologies
10/19/22,OpenML,Open Machine Learning and Open Data Platform
10/19/22,OpenMx,Extended Structural Equation Modelling
10/19/22,origami,Generalized Framework for Cross-Validation
10/19/22,paletteer,Comprehensive Collection of Color Palettes
10/19/22,panelvar,Panel Vector Autoregression
10/19/22,plgp,Particle Learning of Gaussian Processes
10/19/22,PMwR,Portfolio Management with R
10/19/22,PolygonSoup,Mesh from Polygon Soup
10/19/22,pomdpSolve,Interface to 'pomdp-solve' for Partially Observable Markov Decision Processes
10/19/22,prolific.api,A User-Friendly Interface for Accessing the Prolific API
10/19/22,QFASA,Quantitative Fatty Acid Signature Analysis
10/19/22,qlcal,R Bindings to the Calendaring Functionality of 'QuantLib'
